# n=2000
# --never-mutate-zero-bits=true
# --include-best-mutant=true
# --ignore-crossover-parent-duplicates=true
fitness,best-lambda,runtime-to-optimum
1999,49.5,367.3435002862235
1998,35.5,623.9672178440089
1997,29.5,831.7263860284343
1996,25.5,1010.4192609076647
1995,23.5,1169.297868298859
1994,21.5,1313.5374555256951
1993,19.5,1446.4139935225996
1992,18.5,1570.114753549838
1991,17.5,1686.2286848937079
1990,16.5,1795.9374980530727
1989,16.5,1900.1665842949753
1988,15.5,1999.5246049379239
1987,14.5,2094.6610337766456
1986,14.5,2185.986799458932
1985,13.5,2273.949768700248
1984,13.5,2358.789844135126
1983,13.5,2440.8662985389374
1982,12.5,2520.3644109490915
1981,12.5,2597.4765070791486
1980,12.5,2672.433057145198
1979,11.5,2745.398616909549
1978,11.5,2816.4312375323334
1977,11.5,2885.6930862166505
1976,11.5,2953.3243309066115
1975,11.5,3019.4477874642084
1974,10.5,3084.0883017124565
1973,10.5,3147.320657756498
1972,10.5,3209.240225802158
1971,10.5,3269.9318776593896
1970,10.5,3329.471761435084
1969,10.5,3387.9284426163676
1968,9.5,3445.3069879265554
1967,9.5,3501.64036850721
1966,9.5,3556.986478835127
1965,9.5,3611.397709113591
1964,9.5,3664.9219896593927
1963,9.5,3717.6032766953995
1962,9.5,3769.4819782863865
1961,9.5,3820.595325442007
1960,8.5,3870.963813316053
1959,8.5,3920.5720403324376
1958,8.5,3969.454447867381
1957,8.5,4017.6421101472856
1956,8.5,4065.163960572236
1955,8.5,4112.0469739025475
1954,8.5,4158.316339601459
1953,8.5,4203.995616525462
1952,8.5,4249.106871423712
1951,8.5,4293.670803225385
1950,8.5,4337.706854820629
1949,8.5,4381.233313804041
1948,7.5,4424.256623116261
1947,7.5,4466.760736549872
1946,7.5,4508.764059735588
1945,7.5,4550.283160826308
1944,7.5,4591.333726244166
1943,7.5,4631.930611126139
1942,7.5,4672.087897745793
1941,7.5,4711.818948765444
1940,7.5,4751.136456025398
1939,7.5,4790.0524853093275
1938,7.5,4828.578517470626
1937,7.5,4866.72548627169
1936,7.5,4904.503813240898
1935,7.5,4941.923439823401
1934,7.5,4978.9938570724735
1933,7.5,5015.72413310298
1932,7.5,5052.122938502556
1931,6.5,5088.192752159861
1930,6.5,5123.917275552352
1929,6.5,5159.306127793619
1928,6.5,5194.367710836411
1927,6.5,5229.110097051637
1926,6.5,5263.541032166332
1925,6.5,5297.667953209973
1924,6.5,5331.498004968876
1923,6.5,5365.038055368628
1922,6.5,5398.294709863434
1921,6.5,5431.2743249071655
1920,6.5,5463.983020577168
1919,6.5,5496.426692411574
1918,6.5,5528.611022517763
1917,6.5,5560.5414900073065
1916,6.5,5592.223380801767
1915,6.5,5623.661796857702
1914,6.5,5654.861664848105
1913,6.5,5685.827744340398
1912,6.5,5716.5646355049585
1911,6.5,5747.076786383903
1910,6.5,5777.368499752431
1909,6.5,5807.44393959721
1908,6.5,5837.30713723973
1907,5.5,5866.947905416156
1906,5.5,5896.363504502658
1905,5.5,5925.558529186472
1904,5.5,5954.537106712983
1903,5.5,5983.303245112292
1902,5.5,6011.860830913816
1901,5.5,6040.213634284185
1900,5.5,6068.365313716295
1899,5.5,6096.31942048769
1898,5.5,6124.079402897964
1897,5.5,6151.64861030058
1896,5.5,6179.03029693793
1895,5.5,6206.227625593604
1894,5.5,6233.243671070872
1893,5.5,6260.081423507165
1892,5.5,6286.743791534374
1891,5.5,6313.233605292762
1890,5.5,6339.553619306573
1889,5.5,6365.706515229442
1888,5.5,6391.694904466213
1887,5.5,6417.521330677246
1886,5.5,6443.188272172293
1885,5.5,6468.698144199111
1884,5.5,6494.053301132915
1883,5.5,6519.2560385711095
1882,5.5,6544.308595338174
1881,5.5,6569.213155406185
1880,5.5,6593.971849733339
1879,5.5,6618.586758026799
1878,5.5,6643.059910432203
1877,4.5,6667.387450747285
1876,4.5,6691.561425627184
1875,4.5,6715.584661963033
1874,4.5,6739.459318073907
1873,4.5,6763.187516735359
1872,4.5,6786.771331292199
1871,4.5,6810.212787642407
1870,4.5,6833.513865692831
1869,4.5,6856.676500767684
1868,4.5,6879.70258496288
1867,4.5,6902.5939684497525
1866,4.5,6925.352460729582
1865,4.5,6947.979831841489
1864,4.5,6970.477813525572
1863,4.5,6992.848100344177
1862,4.5,7015.092350761219
1861,4.5,7037.212188183336
1860,4.5,7059.209201963464
1859,4.5,7081.084948368546
1858,4.5,7102.84095151322
1857,4.5,7124.478704260606
1856,1.0,7145.984584369364
1855,1.0,7167.325951282917
1854,1.0,7188.506293391173
1853,1.0,7209.527804578006
1852,1.0,7230.392648155131
1851,1.0,7251.102943862032
1850,1.0,7271.660769016908
1849,1.0,7292.068159641676
1848,1.0,7312.327111548782
1847,1.0,7332.439581392449
1846,1.0,7352.407487685834
1845,1.0,7372.232711785357
1844,1.0,7391.917098843491
1843,1.0,7411.462458731183
1842,1.0,7430.870566931128
1841,1.0,7450.1431654029
1840,1.0,7469.281963421096
1839,1.0,7488.288638387418
1838,1.0,7507.164836617701
1837,1.0,7525.912174104809
1836,1.0,7544.532237258247
1835,1.0,7563.026583621391
1834,1.0,7581.396742567097
1833,1.0,7599.6442159724675
1832,1.0,7617.770478873581
1831,1.0,7635.776980100806
1830,1.0,7653.665142895457
1829,1.0,7671.436365508398
1828,1.0,7689.092021781255
1827,1.0,7706.633461710853
1826,1.0,7724.062011997386
1825,1.0,7741.378976576965
1824,1.0,7758.585637139015
1823,1.0,7775.683253629069
1822,1.0,7792.673064737434
1821,1.0,7809.556288374197
1820,1.0,7826.33412213105
1819,1.0,7843.007743730366
1818,1.0,7859.578311461898
1817,1.0,7876.046964607591
1816,1.0,7892.414823854831
1815,1.0,7908.682991698521
1814,1.0,7924.852552832344
1813,1.0,7940.924574529598
1812,1.0,7956.900107013855
1811,1.0,7972.780183819844
1810,1.0,7988.565822144833
1809,1.0,8004.258023190812
1808,1.0,8019.857772497751
1807,1.0,8035.36604026824
1806,1.0,8050.783781683768
1805,1.0,8066.111937212864
1804,1.0,8081.35143291141
1803,1.0,8096.503180715304
1802,1.0,8111.568078725759
1801,1.0,8126.547011487406
1800,1.0,8141.440850259472
1799,1.0,8156.250453280188
1798,1.0,8170.976666024657
1797,1.0,8185.6203214563875
1796,1.0,8200.182240272645
1795,1.0,8214.663231143832
1794,1.0,8229.064090947031
1793,1.0,8243.385604993964
1792,1.0,8257.628547253387
1791,1.0,8271.793680568237
1790,1.0,8285.881756867571
1789,1.0,8299.893517373515
1788,1.0,8313.829692803287
1787,1.0,8327.691003566511
1786,1.0,8341.478159957911
1785,1.0,8355.19186234554
1784,1.0,8368.8328013546
1783,1.0,8382.4016580471
1782,1.0,8395.899104097327
1781,1.0,8409.325801963361
1780,1.0,8422.68240505466
1779,1.0,8435.969557895874
1778,1.0,8449.18789628693
1777,1.0,8462.338047459602
1776,1.0,8475.420630230488
1775,1.0,8488.436255150706
1774,1.0,8501.385524652142
1773,1.0,8514.269033190592
1772,1.0,8527.087367385719
1771,1.0,8539.841106157932
1770,1.0,8552.53082086233
1769,1.0,8565.157075419727
1768,1.0,8577.72042644485
1767,1.0,8590.221423371788
1766,1.0,8602.660608576774
1765,1.0,8615.03851749835
1764,1.0,8627.35567875495
1763,1.0,8639.612614260066
1762,1.0,8651.809839334945
1761,1.0,8663.947862818934
1760,1.0,8676.027187177564
1759,1.0,8688.048308608342
1758,1.0,8700.011717144389
1757,1.0,8711.917896755931
1756,1.0,8723.767325449708
1755,1.0,8735.560475366377
1754,1.0,8747.297812875915
1753,1.0,8758.979798671071
1752,1.0,8770.606887859001
1751,1.0,8782.179530050975
1750,1.0,8793.698169450374
1749,1.0,8805.16324493886
1748,1.0,8816.575190160896
1747,1.0,8827.934433606562
1746,1.0,8839.241398692737
1745,1.0,8850.496503842716
1744,1.0,8861.70016256426
1743,1.0,8872.852783526107
1742,1.0,8883.95477063303
1741,1.0,8895.006523099433
1740,1.0,8906.008435521526
1739,1.0,8916.960897948125
1738,1.0,8927.86429595012
1737,1.0,8938.71901068857
1736,1.0,8949.525418981555
1735,1.0,8960.283893369742
1734,1.0,8970.994802180756
1733,1.0,8981.65850959228
1732,1.0,8992.275375694042
1731,1.0,9002.845756548611
1730,1.0,9013.37000425108
1729,1.0,9023.848466987656
1728,1.0,9034.281489093153
1727,1.0,9044.66941110744
1726,1.0,9055.012569830871
1725,1.0,9065.311298378705
1724,1.0,9075.565926234513
1723,1.0,9085.776779302649
1722,1.0,9095.944179959777
1721,1.0,9106.068447105452
1720,1.0,9116.149896211828
1719,1.0,9126.188839372464
1718,1.0,9136.185585350253
1717,1.0,9146.140439624518
1716,1.0,9156.053704437301
1715,1.0,9165.92567883879
1714,1.0,9175.756658731998
1713,1.0,9185.546936916631
1712,1.0,9195.296803132222
1711,1.0,9205.00654410049
1710,1.0,9214.676443566996
1709,1.0,9224.306782342062
1708,1.0,9233.897838341007
1707,1.0,9243.449886623668
1706,1.0,9252.963199433294
1705,1.0,9262.438046234733
1704,1.0,9271.874693752006
1703,1.0,9281.273406005237
1702,1.0,9290.63444434697
1701,1.0,9299.958067497853
1700,1.0,9309.244531581773
1699,1.0,9318.494090160357
1698,1.0,9327.70699426695
1697,1.0,9336.883492439993
1696,1.0,9346.02383075587
1695,1.0,9355.128252861217
1694,1.0,9364.197000004706
1693,1.0,9373.230311068282
1692,1.0,9382.22842259795
1691,1.0,9391.191568834
1690,1.0,9400.119981740796
1689,1.0,9409.013891036047
1688,1.0,9417.873524219649
1687,1.0,9426.699106602013
1686,1.0,9435.490861332
1685,1.0,9444.249009424371
1684,1.0,9452.973769786824
1683,1.0,9461.665359246592
1682,1.0,9470.323992576625
1681,1.0,9478.949882521374
1680,1.0,9487.543239822158
1679,1.0,9496.104273242137
1678,1.0,9504.63318959091
1677,1.0,9513.130193748702
1676,1.0,9521.59548869024
1675,1.0,9530.029275508172
1674,1.0,9538.431753436205
1673,1.0,9546.803119871855
1672,1.0,9555.14357039884
1671,1.0,9563.453298809169
1670,1.0,9571.73249712485
1669,1.0,9579.981355619326
1668,1.0,9588.200062838525
1667,1.0,9596.388805621636
1666,1.0,9604.547769121576
1665,1.0,9612.67713682512
1664,1.0,9620.777090572763
1663,1.0,9628.847810578276
1662,1.0,9636.889475447964
1661,1.0,9644.902262199632
1660,1.0,9652.88634628132
1659,1.0,9660.841901589716
1658,1.0,9668.769100488313
1657,1.0,9676.668113825288
1656,1.0,9684.539110951162
1655,1.0,9692.382259736178
1654,1.0,9700.197726587388
1653,1.0,9707.985676465589
1652,1.0,9715.74627290191
1651,1.0,9723.479678014237
1650,1.0,9731.186052523384
1649,1.0,9738.865555769007
1648,1.0,9746.518345725322
1647,1.0,9754.144579016602
1646,1.0,9761.744410932415
1645,1.0,9769.317995442712
1644,1.0,9776.865485212624
1643,1.0,9784.387031617141
1642,1.0,9791.882784755506
1641,1.0,9799.352893465455
1640,1.0,9806.797505337247
1639,1.0,9814.216766727497
1638,1.0,9821.61082277282
1637,1.0,9828.979817403277
1636,1.0,9836.32389335567
1635,1.0,9843.643192186608
1634,1.0,9850.93785428543
1633,1.0,9858.208018886939
1632,1.0,9865.453824083947
1631,1.0,9872.675406839699
1630,1.0,9879.872903000069
1629,1.0,9887.046447305622
1628,1.0,9894.196173403521
1627,1.0,9901.322213859274
1626,1.0,9908.424700168272
1625,1.0,9915.503762767261
1624,1.0,9922.5595310456
1623,1.0,9929.592133356373
1622,1.0,9936.601697027392
1621,1.0,9943.588348372008
1620,1.0,9950.552212699793
1619,1.0,9957.49341432713
1618,1.0,9964.412076587578
1617,1.0,9971.308321842178
1616,1.0,9978.182271489582
1615,1.0,9985.034045976068
1614,1.0,9991.863764805417
1613,1.0,9998.671546548672
1612,1.0,10005.457508853755
1611,1.0,10012.221768454974
1610,1.0,10018.96444118241
1609,1.0,10025.685641971166
1608,1.0,10032.38548487053
1607,1.0,10039.064083052976
1606,1.0,10045.721548823101
1605,1.0,10052.35799362642
1604,1.0,10058.97352805802
1603,1.0,10065.568261871198
1602,1.0,10072.142303985887
1601,1.0,10078.695762497027
1600,1.0,10085.22874468284
1599,1.0,10091.741357012981
1598,1.0,10098.233705156597
1597,1.0,10104.705893990274
1596,1.0,10111.158027605896
1595,1.0,10117.590209318416
