lambda,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,rounding
2.8,4278.3985632883005,3740.043873562366,3512.5631940665608,3387.921484224754,3309.800834548468,3256.6250395261977,3218.3522293988317,3189.6780278740175,3167.5381383966287,3150.0399925196093,3135.9524809286745,3124.4408820979666,3114.9197201845723,3106.9665707273443,3100.269268619224,3094.5923385232863,3089.75495427112,3085.616062373768,3082.06409617101,3079.0097117031546,3076.380560295863,3074.1174631500517,3072.171569365831,3070.502215573379,3069.0752938319542,3067.8619928972794,3066.8378172704715,3065.981815340205,3065.2759666158468,3064.7046912185533,3064.2544541978577,3063.913444032783,3063.671309640412,3063.518943876665,3063.4483042458696,3063.4522635889075,3063.52448507774,3063.6593170354477,3063.8517040187267,3064.0971113114197,3512.5631940665608
2.9,4311.061002784248,3749.030775514514,3514.7589388941688,3387.156004723019,3307.4322268837313,3253.2655816351057,3214.3238727804764,3185.16943194695,3162.6691333276613,3144.891553716613,3130.5820478673645,3118.890795779676,3109.222164629248,3101.1466204819685,3094.346853358011,3088.5835591700757,3083.6729947578156,3079.471840032889,3075.8667376666963,3072.766909088081,3070.09884252881,3067.802406585067,3065.8279632590916,3064.1341938187893,3062.6864409279137,3061.4554299695947,3060.4162724682574,3059.547681853453,3058.831350796329,3058.2514527219982,3057.794239646818,3057.4477153842686,3057.2013681998137,3057.045950713891,3056.9732976234563,3056.9761738972707,3057.048147681786,3057.183483364251,3057.377051171135,3057.624250403682,3514.7589388941688
3.0,4342.998145018722,3757.6789540211926,3516.855444780806,3386.417718786684,3305.1646500645147,3250.0540041233535,3210.4748832053647,3180.862175653639,3158.017149281698,3139.971443598347,3125.448093796635,3113.58299510961,3103.770926166619,3095.575654657393,3088.675031229789,3082.8261548746536,3077.8425441707554,3073.5787518619577,3069.9197396723393,3066.773381304582,3064.0650710059153,3061.7337799070833,3059.72912699443,3058.0091734575776,3056.538740821482,3055.2881137251384,3054.232028826864,3053.348879076617,3052.620081864139,3052.0295731211695,3051.563399135866,3051.209384829777,3050.956862354462,3050.796447634155,3050.7198552905797,3050.7197444999088,3050.789589934646,3050.9235731702634,3051.116490881147,3051.36367688418,3516.855444780806
3.1,4374.156710227973,3765.981373290989,3518.847990973571,3385.700550631252,3302.990748938734,3246.982095164828,3206.796553641649,3176.7473270673468,3153.5732271673564,3135.270820083328,3120.541998271748,3108.5091562605985,3098.558030050582,3090.2460828265653,3083.246618177682,3077.3133599570697,3072.2572596416035,3067.9308766195486,3064.217597309595,3061.024031702261,3058.2745472375555,3055.907271510243,3053.8711239103986,3052.123580578699,3050.628970200965,3049.3571595537132,3048.2825289371785,3047.3831657905,3046.6402243223038,3046.03741274206,3045.560579487587,3045.197376925303,3044.9369861737764,3044.7698905172924,3044.6876877220484,3044.6829337070735,3044.749011646602,3044.8800218214537,3045.070688495338,3045.316280833894,3518.847990973571
3.2,4404.48750259163,3773.93329083282,3520.7332359689144,3384.9993687681044,3300.9038318533208,3244.042091099689,3203.280445351554,3172.8160653960076,3149.3283781511504,3130.780683124172,3115.854865099557,3103.660570878091,3093.5750162296927,3085.1497357233466,3078.053764396874,3072.037662163026,3066.9099764856396,3062.52140112093,3058.753848298004,3055.5127450125483,3052.7214967400814,3050.3174398808446,3048.248836633674,3046.47261254075,3044.9526314942127,3043.6583652743866,3042.5638564860637,3041.646902299177,3040.8884061917583,3040.2718588202524,3039.7829190726516,3039.4090735282093,3039.1393577813933,3038.9641269495764,3038.874865562872,3038.8640291988568,3038.924911867477,3039.0515344082223,3039.2385501292397,3039.4811646703665,3520.7332359689144
3.3,4433.946076582328,3781.5321258679337,3522.5090554892536,3384.309871957022,3298.8978120113134,3241.226668043341,3199.91842253547,3169.059751889545,3145.273685069919,3126.492001898363,3111.3776714789415,3099.028314082107,3088.8131237186903,3080.2780639683124,3073.0881657788964,3066.991025493072,3061.792941323543,3057.342862753218,3053.5213241197853,3050.232646544348,3047.399335744226,3044.957987382384,3042.856247572272,3041.0505248587815,3039.504245880617,3038.18651004047,3037.071040854042,3036.135360545646,3035.360134492888,3034.7286462138636,3034.2263736354453,3033.8406446302674,3033.560355101274,3033.3757367974563,3033.2781649529647,3033.2599980302143,3033.314443507193,3033.435444918844,3033.617586341282,3033.8560112665914,3522.5090554892536
3.4,4462.493250513851,3788.77732176163,3524.1744022134917,3383.628494679244,3296.9671594016354,3238.5289345874558,3196.7026797582134,3165.469986720132,3141.400384392458,3122.395818269672,3107.1013900294747,3094.6033826500975,3084.263442939957,3075.6223029083612,3068.341239862219,3062.165076101514,3056.8980069521103,3052.387352496024,3048.5123604977393,3045.176319535361,3042.300894927472,3039.821989953183,3037.686674226079,3035.8508718305084,3034.277598979599,3032.9356048758746,3031.79831231608,3030.8429838199754,3030.0500593253164,3029.402625738305,3028.8859887818653,3028.4873249087404,3028.195396393106,3028.0003166569304,3027.8933558264584,3027.8667787226427,3027.913709166303,3028.02801575993,3028.204215296837,3028.4373907147597,3524.1744022134917
3.4999999999999996,4490.0954761531475,3795.670200941484,3525.7291801138053,3382.952325156719,3295.1068581788522,3235.942422503335,3193.6257608106425,3162.0386518388614,3137.699929724299,3118.483328219973,3103.0170859042255,3090.376805932334,3079.917038851692,3071.1736066032863,3063.8042695167464,3057.5512546828777,3052.216792576987,3047.646682266684,3043.718971224859,3040.3359849291764,3037.4186046807285,3034.902087473475,3032.7329643243647,3030.8667061633805,3029.265944730445,3027.899100606017,3026.739313852743,3025.7636023054615,3024.9521930253713,3024.2879868287564,3023.7561260550706,3023.3436431363343,3023.0391729265853,3022.8327157307617,3022.7154409372033,3022.679523388332,3022.7180063139836,3022.824685946288,3022.9940139312876,3023.2210144263704,3525.7291801138053
3.5,4490.0954761531475,3795.670200941484,3525.7291801138053,3382.952325156719,3295.1068581788522,3235.942422503335,3193.6257608106425,3162.0386518388614,3137.699929724299,3118.483328219973,3103.0170859042255,3090.376805932334,3079.917038851692,3071.1736066032863,3063.8042695167464,3057.5512546828777,3052.216792576987,3047.646682266676,3043.718971224859,3040.3359849291764,3037.4186046807285,3034.902087473475,3032.7329643243647,3030.8667061633805,3029.265944730445,3027.899100606017,3026.739313852743,3025.7636023054615,3024.9521930253713,3024.2879868287564,3023.7561260550706,3023.3436431363343,3023.0391729265853,3022.8327157307617,3022.7154409372033,3022.679523388332,3022.7180063139836,3022.824685946288,3022.9940139312876,3023.2210144263704,3382.952325156719
3.6,4516.725073521238,3802.213812752868,3527.17412938325,3382.279032008232,3293.312366959118,3233.4610744301694,3190.6805693002793,3158.757941135757,3134.16403896074,3114.7459439265963,3099.115992078065,3086.339732896946,3075.7650484956143,3066.923154781944,3059.468518350712,3053.140939488835,3047.7408137036236,3043.1125210422856,3039.132989958216,3035.7036483566544,3032.74464686023,3030.1906399290324,3027.987656094324,3026.0907430872053,3024.4621731262673,3023.0700590245874,3021.8872755895854,3020.8906106546137,3020.0600907629773,3019.3784410590874,3018.8306492921724,3018.403611302433,3018.0858408043305,3017.8672302973428,3017.7388529248033,3017.692797349649,3017.7220294213753,3017.8202757122726,3017.9819250059068,3018.201944601354,3382.279032008232
3.7,4542.36034082091,3808.412775806326,3528.51071976879,3381.606797387146,3291.579580904778,3231.0792285691964,3187.8603719995517,3155.6203797426742,3130.784727551533,3111.1753394202756,3095.3895661000674,3082.4834988619227,3071.798756728644,3062.8622367020666,3055.3253219174894,3048.9255441834175,3043.4615860169,3038.7765042094566,3034.7461845490047,3031.271219016675,3028.271077843227,3025.6798543168015,3023.4431087357716,3021.5154941560922,3019.8589471367486,3018.44129276046,3017.2351574578342,3016.217113315766,3015.3669984250896,3014.6673724894304,3014.1030773563675,3013.6608796617534,3013.3291782677607,3013.0977632231284,3012.957615988298,3012.9007429344206,3012.920035842931,3013.0091544470074,3013.1624270678662,3013.3747661858915,3381.606797387146
3.8,4566.985550463493,3814.2731169256253,3529.7410511796184,3380.9342554363984,3289.9047952077653,3228.791600876887,3185.158796232167,3152.618834403672,3127.5543303110126,3107.7634826516637,3091.82953144249,3078.799675282581,3068.009653694241,3058.9823156191856,3051.366158555412,3044.896594480414,3039.370707294759,3034.630320282968,3030.550348143826,3027.030604783539,3023.989927309199,3021.361886807542,3019.0916077105694,3017.133375443989,3015.4488136188384,3014.0054787397744,3012.775765067503,3011.7360426965624,3010.8659729670694,3010.1479601174774,3009.566708612808,3009.1088631702587,3008.762714037788,3008.517954159438,3008.365477897491,3008.2972132647737,3008.305981350108,3008.3853779437127,3008.529673388628,3008.7337274756765,3380.9342554363984
3.9,4590.59084317698,3819.8021090112834,3530.86776102963,3380.260435443426,3288.2846699457264,3226.593265417409,3182.56982257973,3149.7465167154724,3124.4655139955103,3104.502656521873,3088.427906264329,3075.280105620218,3064.3894772247518,3055.275077192234,3047.5827033001974,3041.045787099626,3035.4599209790517,3030.6657786963315,3026.537370834708,3022.9737873908875,3019.89327666658,3017.2289241567414,3014.925448909272,3012.93679426684,3011.2242924203524,3009.755249519657,3008.5018431401754,3007.4402545839584,3006.5499797227517,3005.813276995627,3005.214721781722,3004.740844012801,3004.379831463902,3004.1212852675053,3003.956017253986,3003.875881019527,3003.8736303644555,3003.942800076464,3004.077605060074,3004.272854609634,3380.260435443426
4.0,4613.17203300329,3825.0081101191954,3531.893938083752,3379.5847093677767,3286.7161964391935,3224.479633544038,3180.087774075769,3146.9969808276883,3121.511282585689,3101.3854710955957,3085.1770220356098,3071.916929921497,3060.9302429532345,3051.7324647251567,3043.9668678709318,3037.365034129317,3031.7211645655207,3026.874861892504,3022.699295147654,3019.0928810410765,3015.9733205301673,3013.2732478230455,3010.937005208232,3008.9182179990253,3007.177947297587,3005.6832661686913,3004.4061502322265,3003.3226046049394,3002.4119705124945,3001.6563699080275,3001.0402571167892,3000.5500542246314,3000.1738525385163,2999.9011665820494,2999.7227301661287,2999.6303263874984,2999.616645160334,2999.675163226503,2999.8000426219396,2999.986044378073,3379.5847093677767
4.1,4634.730336533159,3829.9004058989635,3532.823042721056,3378.9067435547086,3285.196665282217,3222.4464325129543,3177.707302891548,3144.364116953155,3118.6849769137393,3098.4048688771695,3082.06953409902,3068.702600346065,3057.624264503616,3048.34670372287,3040.510829298792,3033.846495439985,3028.1466055244455,3023.249764485016,3019.028358193068,3015.380177309737,3012.2224141644433,3009.4872837535518,3007.118778418919,3005.0702280271685,3003.302441731832,3001.78227582086,3000.4815179157777,2999.376008938183,2998.4449458011213,2997.6703229014456,2997.0364812453604,2996.5297417857473,2996.1381051974654,2995.851004476242,2995.659099842405,2995.5541077575476,2995.528657624218,2995.5761710868055,2995.690759889833,2995.867139055038,3378.9067435547086
4.2,4655.2720399331365,3834.4890572972245,3533.6588335743772,3378.2264545066755,3283.72363620647,3220.4896840364786,3175.4233753468243,3141.8421418065577,3115.9802699961538,3095.554124712824,3079.098425901405,3065.62988951583,3054.4641657507073,3045.11031785044,3037.20704936876,3030.482601389473,3024.7286670504227,3019.782921838537,3015.5170228711295,3011.8281787812193,3008.633109366166,3005.8636403443015,3003.4634391716336,3001.3855614170748,2999.5905822534905,2998.0451565438443,2996.7208970910233,2995.593491982094,2994.642003643725,2993.8483074408873,2993.196638474005,2992.673223024201,2992.2659767758564,2991.9642561305086,2991.758652038502,2991.6408181140696,2991.6033265718465,2991.639546877637,2991.743543049081,2991.9099863524134,3378.2264545066755
4.3,4674.808117178269,3838.78475514615,3534.4053004967973,3377.5439685969086,3282.2949099000793,3218.6056831807764,3173.2312559170077,3139.425586878443,3113.3911591814367,3092.8268416014075,3076.257008324209,3062.691893237966,3051.4428868049176,3042.016138037293,3034.048286689623,3027.266067696346,3021.4600455714494,3016.4670300451553,3012.1580001488996,3008.429623465834,3005.198180868708,3002.395136688766,2999.9638568749806,2997.85714246166,2996.0353514670014,2994.4649517409516,2993.1173936750783,2991.968223249854,2990.996377715853,2990.183621511439,2989.514090906849,2988.9739237020785,2988.550956018584,2988.2344724302106,2988.0149988093613,2987.884129614384,2987.8343831260695,2987.859079502446,2987.9522375690008,2988.1084870753534,3377.5439685969086
4.4,4693.353812433161,3842.798682951891,3535.0666037688475,3376.8595856001816,3280.908501856636,3216.790977916909,3171.1264907661484,3137.1092852688803,3110.9119560076697,3090.216943454973,3073.538915278612,3059.8820288749644,3048.553685086316,3039.0573061688174,3031.027602900469,3024.189904045004,3018.333721628061,3013.295058947267,3008.9442640956186,3005.1775017170326,3001.9106450152485,2999.0748228857865,2996.6131215452874,2994.4781059266106,2992.629932615702,2991.034895945993,2989.6642955463312,2988.4935453911958,2987.5014663474913,2986.6697196070227,2985.982349337173,2985.425410764695,2984.9866656471286,2984.6553313144505,2984.42187260882,2984.2778284118626,2984.215666239068,2984.2286597483558,2984.3107850628626,2984.456632625053,3376.8595856001816
