# n=150
# --never-mutate-zero-bits=true
# --include-best-mutant=true
# --ignore-crossover-parent-duplicates=true
fitness,best-lambda,runtime-to-optimum
149,13.5,97.53287740172644
148,10.5,162.9238206083553
147,8.5,214.27674187861697
146,7.5,257.3221965964624
145,6.5,294.73585469079575
144,6.5,327.9132140869171
143,5.5,357.8123836495603
142,5.5,385.0187018094721
141,4.5,410.04370887091386
140,4.5,433.0932384971563
139,1.0,454.2625632597444
138,1.0,473.47176740175655
137,1.0,491.03830074770025
136,1.0,507.1990244833108
135,1.0,522.143531083643
134,1.0,536.0258245613065
133,1.0,548.972695014898
132,1.0,561.0897670410798
131,1.0,572.4659564194052
130,1.0,583.1768126035433
129,1.0,593.287065360728
128,1.0,602.8525926105917
127,1.0,611.9219604554821
126,1.0,620.5376423549645
125,1.0,628.7369944504385
124,1.0,636.5530433134138
123,1.0,644.0151278015284
122,1.0,651.1494262853581
121,1.0,657.9793929627986
120,1.0,664.5261214438644
119,1.0,670.8086496829415
118,1.0,676.8442172561581
117,1.0,682.6484836486925
116,1.0,688.2357144328901
115,1.0,693.6189408418826
114,1.0,698.8100971730263
113,1.0,703.820139616557
112,1.0,708.6591494425247
111,1.0,713.3364229526302
110,1.0,717.8605501824096
109,1.0,722.2394840002382
108,1.0,726.4806009751924
107,1.0,730.5907551624647
106,1.0,734.5763257722575
105,1.0,738.4432595378364
104,1.0,742.1971084742808
103,1.0,745.8430636164794
102,1.0,749.3859852390808
101,1.0,752.8304299892832
100,1.0,756.1806753030367
99,1.0,759.4407414243447
98,1.0,762.6144113043243
97,1.0,765.7052486201482
96,1.0,768.7166141228425
95,1.0,771.6516804963328
94,1.0,774.5134458873191
93,1.0,777.3047462459667
92,1.0,780.0282666004957
91,1.0,782.6865513741534
90,1.0,785.2820138403885
89,1.0,787.8169448010564
88,1.0,790.293520562898
87,1.0,792.7138102791785
86,1.0,795.0797827160449
85,1.0,797.3933124967665
84,1.0,799.6561858713521
83,1.0,801.8701060541052
82,1.0,804.0366981672727
81,1.0,806.1575138250812
80,1.0,808.2340353890248
79,1.0,810.2676799222182
78,1.0,812.2598028679292
77,1.0,814.2117014749939
76,1.0,816.1246179906663
75,1.0,817.9997426395381
74,1.0,819.8382164054524
73,1.0,821.6411336317785
72,1.0,823.4095444540544
71,1.0,825.1444570777523
70,1.0,826.8468399128055
69,1.0,828.517623575527
68,1.0,830.1577027676519
67,1.0,831.7679380414022
66,1.0,833.3491574587338
65,1.0,834.9021581522599
64,1.0,836.4277077947244
63,1.0,837.9265459833549
62,1.0,839.3993855449063
61,1.0,840.846913766772
60,1.0,842.2697935590966
59,1.0,843.6686645524552
58,1.0,845.0441441353216
57,1.0,846.3968284352233
56,1.0,847.7272932471802
55,1.0,849.0360949127846
54,1.0,850.3237711530128
53,1.0,851.5908418576362
52,1.0,852.837809833913
51,1.0,854.0651615170269
50,1.0,855.2733676445905
49,1.0,856.4628838973447
48,1.0,857.6341515080663
47,1.0,858.7875978405347
46,1.0,859.9236369402989
45,1.0,861.0426700588641
44,1.0,862.1450861528117
43,1.0,863.2312623592616
42,1.0,864.3015644490087
41,1.0,865.3563472585595
40,1.0,866.3959551022338
39,1.0,867.4207221654104
38,1.0,868.4309728799432
37,1.0,869.4270222826872
36,1.0,870.4091763580446
35,1.0,871.3777323653582
34,1.0,872.3329791519467
33,1.0,873.2751974525295
32,1.0,874.2046601757256
31,1.0,875.1216326782953
30,1.0,876.0263730277394
29,1.0,876.9191322538319
28,143.49999999999997,873.0761588621199
27,143.49999999999997,866.4278610045089
26,144.49999999999997,859.374506650184
25,144.49999999999997,851.9440617419855
24,145.49999999999997,844.119442936721
23,145.49999999999997,835.7456538011838
22,145.49999999999997,826.981002529484
21,146.49999999999997,817.7407014893578
20,146.49999999999997,807.7252473222011
19,146.49999999999997,797.1696494697027
18,146.49999999999997,786.022552362644
17,146.49999999999997,774.2249138913996
16,147.49999999999997,761.2484572528526
15,147.49999999999997,747.3345100635566
14,147.49999999999997,732.4377706645873
13,147.49999999999997,716.4304181604787
12,147.49999999999997,699.1630312105634
11,148.24067910040512,680.3946424493774
10,148.3703665035988,659.4753254616885
9,148.49999999999997,636.8310459076299
8,148.49999999999997,612.3847503261816
7,148.49999999999997,585.931570806887
6,148.49999999999997,557.0373185592305
5,149.06456474394605,523.7674657679979
4,149.15430443653906,485.80279551629405
3,149.22214050252364,441.9988743289134
2,149.28776085840744,390.7832166743174
1,149.4647789019921,331.7800600110704
0,150.0,245.00253619808694
