# n=200
# --never-mutate-zero-bits=true
# --include-best-mutant=true
# --ignore-crossover-parent-duplicates=true
fitness,best-lambda,runtime-to-optimum
199,15.5,113.27589502695497
198,11.5,189.83598820367055
197,9.5,250.4244242552434
196,8.5,301.49045197246056
195,7.5,346.12007688288463
194,7.5,385.9273285815263
193,6.5,422.00670286316034
192,6.5,455.05147916850234
191,5.5,485.64013273028723
190,5.5,514.0206196314548
189,5.5,540.5604935879264
188,4.5,565.5237782442281
187,4.5,588.9730895012414
186,4.5,611.1128088725978
185,1.0,631.730981729631
184,1.0,650.9211089269884
183,1.0,668.8563521456236
182,1.0,685.6774670682719
181,1.0,701.5030088358602
180,1.0,716.433731221653
179,1.0,730.5559776600628
178,1.0,743.9443016151481
177,1.0,756.663517292706
176,1.0,768.7703231145682
175,1.0,780.3146004923431
174,1.0,791.3404628316405
173,1.0,801.8871102712526
172,1.0,811.9895317856423
171,1.0,821.6790862308634
170,1.0,830.9839865453328
169,1.0,839.9297058497884
168,1.0,848.5393200904284
167,1.0,856.8337987629249
166,1.0,864.832252879608
165,1.0,872.5521475096308
164,1.0,880.0094847967069
163,1.0,887.2189622419065
162,1.0,894.1941101571011
161,1.0,900.9474114936378
160,1.0,907.4904066900178
159,1.0,913.8337857309809
158,1.0,919.9874692449904
157,1.0,925.9606801697023
156,1.0,931.7620072716479
155,1.0,937.3994616062802
154,1.0,942.8805268392579
153,1.0,948.2122042126788
152,1.0,953.4010528256831
151,1.0,958.4532258032166
150,1.0,963.3745028464134
149,1.0,968.1703195903235
148,1.0,972.845794137406
147,1.0,977.4057510865381
146,1.0,981.8547433358519
145,1.0,986.1970719022825
144,1.0,990.4368039703487
143,1.0,994.5777893565916
142,1.0,998.6236755535934
141,1.0,1002.5779214980516
140,1.0,1006.4438101905229
139,1.0,1010.2244602798123
138,1.0,1013.9228367122296
137,1.0,1017.5417605347797
136,1.0,1021.0839179316439
135,1.0,1024.5518685647285
134,1.0,1027.9480532815726
133,1.0,1031.2748012472887
132,1.0,1034.5343365513677
131,1.0,1037.7287843350312
130,1.0,1040.8601764802468
129,1.0,1043.9304568974537
128,1.0,1046.9414864454634
127,1.0,1049.8950475137747
126,1.0,1052.792848294691
125,1.0,1055.6365267700733
124,1.0,1058.4276544352533
123,1.0,1061.1677397806218
122,1.0,1063.8582315495244
121,1.0,1066.5005217894773
120,1.0,1069.0959487122082
119,1.0,1071.6457993766985
118,1.0,1074.1513122081772
117,1.0,1076.6136793649512
116,1.0,1079.0340489639339
115,1.0,1081.4135271748646
114,1.0,1083.7531801923847
113,1.0,1086.0540360944005
112,1.0,1088.3170865945026
111,1.0,1090.5432886955784
110,1.0,1092.7335662512194
109,1.0,1094.8888114410133
108,1.0,1097.0098861653348
107,1.0,1099.0976233648455
106,1.0,1101.152828269502
105,1.0,1103.1762795815441
104,1.0,1105.1687305965875
103,1.0,1107.1309102666548
102,1.0,1109.0635242087076
101,1.0,1110.967255661991
100,1.0,1112.8427663972564
99,1.0,1114.6906975807403
98,1.0,1116.5116705955525
97,1.0,1118.3062878229687
96,1.0,1120.0751333859387
95,1.0,1121.8187738569777
94,1.0,1123.5377589324592
93,1.0,1125.2326220752004
92,1.0,1126.9038811270968
91,1.0,1128.5520388934722
90,1.0,1130.1775837006794
89,1.0,1131.7809899284039
88,1.0,1133.3627185180344
87,1.0,1134.923217458364
86,1.0,1136.4629222498309
85,1.0,1137.9822563484101
84,1.0,1139.4816315902212
83,1.0,1140.9614485978345
82,1.0,1142.4220971692162
81,1.0,1143.8639566501927
80,1.0,1145.2873962912508
79,1.0,1146.6927755894592
78,1.0,1148.080444616252
77,1.0,1149.450744331749
76,1.0,1150.8040068862927
75,1.0,1152.1405559097814
74,1.0,1153.4607067894265
73,1.0,1154.7647669364399
72,1.0,1156.0530360422024
71,1.0,1157.3258063243961
70,1.0,1158.5833627635518
69,1.0,1159.8259833304824
68,1.0,1161.0539392049823
67,1.0,1162.2674949862208
66,1.0,1163.466908895185
65,1.0,1164.6524329695278
64,1.0,1165.8243132511675
63,1.0,1166.982789966949
62,1.0,1168.128097702674
61,1.0,1169.2604655707867
60,1.0,1170.3801173719905
59,1.0,1171.4872717510505
58,1.0,1172.582142347035
57,1.0,1173.6649379382275
56,1.0,1174.7358625819304
55,1.0,1175.7951157493799
54,1.0,1176.8428924559637
53,1.0,1177.8793833869486
52,1.0,1178.9047750188868
51,1.0,1179.919249736888
50,1.0,1180.922985947912
49,1.0,1181.9161581902542
48,1.0,1182.8989372393648
47,1.0,1183.871490210151
46,1.0,1184.833980655902
45,1.0,1185.7865686639605
44,1.0,1186.7294109482798
43,1.0,1187.6626609389746
42,1.0,1188.5864688689858
41,1.0,1189.5009818579683
40,1.0,1190.4063439935092
39,1.0,1191.3026964097703
38,1.0,1192.1901773636612
37,192.49999999999997,1188.7846198617171
36,193.49999999999997,1181.9680514778495
35,193.49999999999997,1174.8492217582693
34,194.49999999999997,1167.5089440208826
33,194.49999999999997,1159.7438211254423
32,194.49999999999997,1151.7194884565429
31,194.49999999999997,1143.4212132585146
30,195.49999999999997,1134.6455242529155
29,195.49999999999997,1125.5036899806894
28,195.49999999999997,1116.0155322975302
27,195.49999999999997,1106.1584200613756
26,196.49999999999997,1095.7320923147452
25,196.49999999999997,1084.7411522738046
24,196.49999999999997,1073.2684668104932
23,196.49999999999997,1061.2768311952973
22,196.49999999999997,1048.7245653949983
21,196.49999999999997,1035.5647418871727
20,197.49999999999997,1021.3177275721384
19,197.49999999999997,1006.274056035249
18,197.49999999999997,990.3788616209413
17,197.49999999999997,973.5432197826611
16,197.49999999999997,955.6655108918724
15,197.49999999999997,936.6518090166471
14,197.49999999999997,916.4795455946042
13,198.2426542819879,894.8073613076793
12,198.34128552863143,871.6722832709105
11,198.44878847404647,847.1409104862955
10,198.49999999999997,821.0494398280698
9,198.49999999999997,793.2378286477839
8,198.49999999999997,763.4594830699851
7,198.49999999999997,731.3692721779536
6,199.04189174730277,695.2290272616367
5,199.12556066330043,654.9066784451443
4,199.19033355758418,609.4189704626898
3,199.24096142963813,557.3135824596604
2,199.29617288262017,496.8508982643548
1,199.4681973961959,427.75631913133634
0,200.0,326.60843565477387
