# n=500
# --never-mutate-zero-bits=true
# --include-best-mutant=true
# --ignore-crossover-parent-duplicates=true
fitness,best-lambda,runtime-to-optimum
499,24.5,181.57037506689312
498,18.5,306.65697523845677
497,15.5,406.95131230857163
496,13.5,492.46948222637656
495,12.5,567.9974777612947
494,11.5,636.0949763850465
493,10.5,698.3862409771417
492,9.5,756.0557028942798
491,9.5,809.8694563912137
490,8.5,860.4594235188334
489,8.5,908.199574409215
488,8.5,953.5273145181076
487,7.5,996.7133259468156
486,7.5,1037.9228956639831
485,7.5,1077.3974861503548
484,7.5,1115.3305026023866
483,6.5,1151.8702728970754
482,6.5,1187.0437325912246
481,6.5,1220.9841566645198
480,6.5,1253.801511598549
479,6.5,1285.5902427833623
478,6.5,1316.432073515488
477,5.5,1346.381582347626
476,5.5,1375.4357207837304
475,5.5,1403.6619007857892
474,5.5,1431.116933346224
473,5.5,1457.8514774794774
472,5.5,1483.9108619875703
471,5.5,1509.3358277359675
470,5.5,1534.1631434864307
469,4.5,1558.3883049024507
468,4.5,1582.021019188934
467,4.5,1605.095288239026
466,4.5,1627.6407068676006
465,4.5,1649.6844170935042
464,1.0,1671.214568767484
463,1.0,1692.0983723037382
462,1.0,1712.3756557048152
461,1.0,1732.077715726703
460,1.0,1751.2335624928037
459,1.0,1769.8700820177019
458,1.0,1788.0122384615177
457,1.0,1805.6832529232527
456,1.0,1822.9047619110802
455,1.0,1839.696958204736
454,1.0,1856.0787164066742
453,1.0,1872.0677051366501
452,1.0,1887.68048753927
451,1.0,1902.9326115355952
450,1.0,1917.8386910495037
449,1.0,1932.4124792706136
448,1.0,1946.6669348726132
447,1.0,1960.6142819845143
446,1.0,1974.266064608936
445,1.0,1987.6331960932123
444,1.0,2000.7260041833654
443,1.0,2013.5542721259126
442,1.0,2026.1272762263604
441,1.0,2038.453820224699
440,1.0,2050.5422668062315
439,1.0,2062.400566529482
438,1.0,2074.0362844211545
437,1.0,2085.4566244603243
436,1.0,2096.6684521497527
435,1.0,2107.6783153509014
434,1.0,2118.492463540468
433,1.0,2129.116865629841
432,1.0,2139.5572264742386
431,1.0,2149.8190021854907
430,1.0,2159.907414351009
429,1.0,2169.827463251369
428,1.0,2179.5839401599733
427,1.0,2189.181438800218
426,1.0,2198.624366028499
425,1.0,2207.91695180496
424,1.0,2217.0632585082512
423,1.0,2226.06718964538
422,1.0,2234.9324980032097
421,1.0,2243.662793283998
420,1.0,2252.261549263687
419,1.0,2260.7321105082783
418,1.0,2269.0776986806463
417,1.0,2277.301418467391
416,1.0,2285.406263152864
415,1.0,2293.395119865278
414,1.0,2301.270774517789
413,1.0,2309.0359164655697
412,1.0,2316.693142898242
411,1.0,2324.2449629855264
410,1.0,2331.6938017925436
409,1.0,2339.0420039799574
408,1.0,2346.2918373030025
407,1.0,2353.445495922365
406,1.0,2360.5051035389174
405,1.0,2367.4727163634543
404,1.0,2374.3503259317195
403,1.0,2381.1398617743107
402,1.0,2387.843193950335
401,1.0,2394.462135453085
400,1.0,2400.998444495399
399,1.0,2407.453826681868
398,1.0,2413.829937074539
397,1.0,2420.128382158319
396,1.0,2426.350721711866
395,1.0,2432.4984705893685
394,1.0,2438.573100418264
393,1.0,2444.5760412175955
392,1.0,2450.508682941432
391,1.0,2456.372376951464
390,1.0,2462.1684374226497
389,1.0,2467.898142685521
388,1.0,2473.56273650855
387,1.0,2479.163429323752
386,1.0,2484.7013993985183
385,1.0,2490.1777939564804
384,1.0,2495.593730250052
383,1.0,2500.9502965871025
382,1.0,2506.2485533141316
381,1.0,2511.4895337580997
380,1.0,2516.6742451290124
379,1.0,2521.8036693851827
378,1.0,2526.8787640630258
377,1.0,2531.9004630730988
376,1.0,2536.869677464033
375,1.0,2541.787296155892
374,1.0,2546.6541866444163
373,1.0,2551.4711956775204
372,1.0,2556.2391499053615
371,1.0,2560.9588565051886
370,1.0,2565.631103782154
369,1.0,2570.2566617471684
368,1.0,2574.836282672872
367,1.0,2579.370701628671
366,1.0,2583.860636995816
365,1.0,2588.3067909633796
364,1.0,2592.7098500059947
363,1.0,2597.070485344137
362,1.0,2601.3893533877263
361,1.0,2605.6670961637597
360,1.0,2609.9043417286543
359,1.0,2614.101704565964
358,1.0,2618.259785970076
357,1.0,2622.379174416483
356,1.0,2626.4604459191883
355,1.0,2630.5041643757763
354,1.0,2634.510881900655
353,1.0,2638.4811391469525
352,1.0,2642.4154656175297
351,1.0,2646.3143799655486
350,1.0,2650.1783902850098
349,1.0,2654.007994391657
348,1.0,2657.803680094642
347,1.0,2661.565925459288
346,1.0,2665.295199061329
345,1.0,2668.991960232928
344,1.0,2672.6566593007997
343,1.0,2676.289737816754
342,1.0,2679.8916287809184
341,1.0,2683.4627568579494
340,1.0,2687.003538586462
339,1.0,2690.5143825819646
338,1.0,2693.9956897335064
337,1.0,2697.4478533943025
336,1.0,2700.8712595665147
335,1.0,2704.2662870804556
334,1.0,2707.633307768361
333,1.0,2710.9726866329697
332,1.0,2714.2847820110665
331,1.0,2717.5699457321884
330,1.0,2720.828523272657
329,1.0,2724.060853905088
328,1.0,2727.2672708435625
327,1.0,2730.4481013845825
326,1.0,2733.6036670439794
325,1.0,2736.7342836899056
324,1.0,2739.840261672026
323,1.0,2742.9219059470743
322,1.0,2745.979516200859
321,1.0,2749.0133869668653
320,1.0,2752.023807741554
319,1.0,2755.011063096473
318,1.0,2757.975432787268
317,1.0,2760.9171918597267
316,1.0,2763.8366107529328
315,1.0,2766.733955399615
314,1.0,2769.609487323803
313,1.0,2772.463463735866
312,1.0,2775.29613762501
311,1.0,2778.1077578493387
310,1.0,2780.898569223524
309,1.0,2783.6688126041763
308,1.0,2786.418724973002
307,1.0,2789.148539517786
306,1.0,2791.8584857112896
305,1.0,2794.5487893881145
304,1.0,2797.219672819613
303,1.0,2799.8713547868724
302,1.0,2802.5040506518762
301,1.0,2805.1179724268504
300,1.0,2807.7133288418827
299,1.0,2810.2903254108624
298,1.0,2812.8491644957594
297,1.0,2815.3900453693454
296,1.0,2817.9131642763496
295,1.0,2820.41871449313
294,1.0,2822.9068863858965
293,1.0,2825.377867467508
292,1.0,2827.8318424529107
291,1.0,2830.2689933132488
290,1.0,2832.689499328675
289,1.0,2835.0935371399146
288,1.0,2837.4812807985954
287,1.0,2839.8529018164068
286,1.0,2842.2085692130986
285,1.0,2844.5484495633614
284,1.0,2846.8727070426226
283,1.0,2849.1815034717733
282,1.0,2851.474998360878
281,1.0,2853.7533489518737
280,1.0,2856.0167102602963
279,1.0,2858.265235116062
278,1.0,2860.4990742033333
277,1.0,2862.7183760994712
276,1.0,2864.923287313127
275,1.0,2867.113952321481
274,1.0,2869.29051360666
273,1.0,2871.4531116913327
272,1.0,2873.601885173543
271,1.0,2875.736970760759
270,1.0,2877.8585033032014
269,1.0,2879.966615826423
268,1.0,2882.0614395632006
267,1.0,2884.143103984733
266,1.0,2886.2117368311683
265,1.0,2888.2674641414833
264,1.0,2890.310410282725
263,1.0,2892.340697978626
262,1.0,2894.358448337629
261,1.0,2896.3637808803087
260,1.0,2898.3568135662363
259,1.0,2900.3376628202527
258,1.0,2902.306443558244
257,1.0,2904.2632692123348
256,1.0,2906.208251755596
255,1.0,2908.1415017262343
254,1.0,2910.063128251284
253,1.0,2911.973239069821
252,1.0,2913.8719405557076
251,1.0,2915.7593377398784
250,1.0,2917.635534332173
249,1.0,2919.5006327427354
248,1.0,2921.354734102988
247,1.0,2923.197938286178
246,1.0,2925.030343927537
245,1.0,2926.852048444025
244,1.0,2928.6631480536885
243,1.0,2930.463737794655
242,1.0,2932.25391154374
241,1.0,2934.0337620346963
240,1.0,2935.8033808761197
239,1.0,2937.5628585689983
238,1.0,2939.3122845239295
237,1.0,2941.051747078012
236,1.0,2942.781333511403
235,1.0,2944.5011300635765
234,1.0,2946.2112219492637
