# n=50
# --never-mutate-zero-bits=true
# --include-best-mutant=true
# --ignore-crossover-parent-duplicates=true
fitness,best-lambda,runtime-to-optimum
49,7.5,54.49875773468226
48,5.5,88.81053752742496
47,4.5,114.38226654585013
46,1.0,133.7816871287655
45,1.0,148.83849911953897
44,1.0,161.0394510208816
43,1.0,171.21361925853714
42,1.0,179.87876519625155
41,1.0,187.3795003517471
40,1.0,193.95658197192367
39,1.0,199.78470827481132
38,1.0,204.99456331912322
37,1.0,209.68638115738142
36,1.0,213.93866403728435
35,1.0,217.81399317453335
34,1.0,221.36302250198707
33,1.0,224.62729679781737
32,1.0,227.6412861510234
31,1.0,230.43388430864644
30,1.0,233.0295318015311
29,1.0,235.44907110732007
28,1.0,237.7104069766221
27,1.0,239.82902278834575
26,1.0,241.81838896066267
25,1.0,243.6902893535698
24,1.0,245.45508461360248
23,1.0,247.12192649586262
22,1.0,248.69893368776158
21,1.0,250.19333711679573
20,1.0,251.61160086064854
19,1.0,252.95952339507014
18,1.0,254.24232287797972
17,1.0,255.4647093827311
16,1.0,256.6309463928922
15,1.0,257.74490340766437
14,1.0,258.8101011468423
13,1.0,259.8297505619474
12,1.0,260.80678663736575
11,1.0,261.7438977882826
10,45.49999999999999,259.8795802408785
9,45.49999999999999,254.34553420437888
8,46.49999999999999,247.59976144729376
7,47.49999999999999,239.65600201883638
6,47.49999999999999,230.1679560592014
5,48.49999999999999,218.65077287826128
4,48.49999999999999,203.74431460168688
3,49.04207939871616,185.2600644921548
2,49.216300071763975,160.08604639644446
1,49.43851166457871,129.18924501782308
0,50.0,81.79151599564416
