# n=1000
# --never-mutate-zero-bits=true
# --include-best-mutant=true
# --ignore-crossover-parent-duplicates=true
fitness,best-lambda,runtime-to-optimum
999,35.5,258.50828975611296
998,25.5,438.08210904207215
997,21.5,582.9441215072598
996,18.5,707.086504278916
995,16.5,817.1357927058988
994,15.5,916.7953804679252
993,14.5,1008.3811321619521
992,13.5,1093.440864704852
991,12.5,1173.1210035323584
990,12.5,1248.2629750334477
989,11.5,1319.4460833924895
988,11.5,1387.229302874212
987,10.5,1451.9908915166404
986,10.5,1514.031661128499
985,10.5,1573.6934930937316
984,9.5,1631.1672651473336
983,9.5,1686.6080295695517
982,9.5,1740.2271301229205
981,9.5,1792.2005650546703
980,8.5,1842.641720238078
979,8.5,1891.5959171035986
978,8.5,1939.1894459041446
977,8.5,1985.5302441061503
976,8.5,2030.7125861327945
975,8.5,2074.8192907698462
974,7.5,2117.8961179275702
973,7.5,2159.952012356909
972,7.5,2201.054918403262
971,7.5,2241.264247042746
970,7.5,2280.633459055324
969,7.5,2319.2108238269143
968,7.5,2357.040080236859
967,7.5,2394.160996270646
966,7.5,2430.6098455804163
965,6.5,2466.371952076604
964,6.5,2501.4704557983523
963,6.5,2535.938069178975
962,6.5,2569.804536286112
961,6.5,2603.097332077001
960,6.5,2635.8418849370114
959,6.5,2668.0617792402927
958,6.5,2699.7789334355184
957,6.5,2731.0137572342155
956,6.5,2761.785290756125
955,6.5,2792.111328043078
954,5.5,2822.008263669282
953,5.5,2851.4490169813166
952,5.5,2880.452601631678
951,5.5,2909.035009454992
950,5.5,2937.211324600212
949,5.5,2964.9957543859264
948,5.5,2992.401698346012
947,5.5,3019.4418096564495
946,5.5,3046.1280508513923
945,5.5,3072.4717444352686
944,5.5,3098.4836189408493
943,5.5,3124.1738509132742
942,5.5,3149.552103243115
941,5.5,3174.6275602215132
940,5.5,3199.4089596459567
939,5.5,3223.9046222685092
938,4.5,3248.095324675281
937,4.5,3271.986309848499
936,4.5,3295.5863349422407
935,4.5,3318.9034990212817
934,4.5,3341.9455453355063
933,4.5,3364.719876248923
932,4.5,3387.233573547596
931,4.5,3409.4934170623756
930,4.5,3431.5059019598125
929,4.5,3453.2772548094076
928,1.0,3474.791205813748
927,1.0,3495.977969487057
926,1.0,3516.84914570443
925,1.0,3537.413186152268
924,1.0,3557.6782391999895
923,1.0,3577.6521355740038
922,1.0,3597.342404622946
921,1.0,3616.7562895807237
920,1.0,3635.900761872979
919,1.0,3654.782534540418
918,1.0,3673.408074843644
917,1.0,3691.7836161086607
916,1.0,3709.9151688672882
915,1.0,3727.808531342243
914,1.0,3745.4692993226367
913,1.0,3762.902875471901
912,1.0,3780.114478106847
911,1.0,3797.109149483534
910,1.0,3813.891763622791
909,1.0,3830.4670337057646
908,1.0,3846.839519067552
907,1.0,3863.0136318147997
906,1.0,3878.9936430913203
905,1.0,3894.7836890139315
904,1.0,3910.387776299129
903,1.0,3925.809787599736
902,1.0,3941.0534865692557
901,1.0,3956.1225226704546
900,1.0,3971.0204357435246
899,1.0,3985.7506603480656
898,1.0,4000.316529892259
897,1.0,4014.7212805615704
896,1.0,4028.968055058576
895,1.0,4043.0599061647035
894,1.0,4056.99980013397
893,1.0,4070.790619928104
892,1.0,4084.435168301926
891,1.0,4097.936170747178
890,1.0,4111.296278302539
889,1.0,4124.518070237066
888,1.0,4137.604056613843
887,1.0,4150.556680740175
886,1.0,4163.378321510326
885,1.0,4176.071295646407
884,1.0,4188.637859842648
883,1.0,4201.080212818054
882,1.0,4213.400497282073
881,1.0,4225.60080181767
880,1.0,4237.683162685941
879,1.0,4249.649565556159
878,1.0,4261.501947164899
877,1.0,4273.242196907731
876,1.0,4284.8721583667375
875,1.0,4296.393630776897
874,1.0,4307.808370434317
873,1.0,4319.118092048989
872,1.0,4330.324470044714
871,1.0,4341.429139808661
870,1.0,4352.433698892814
869,1.0,4363.339708169616
868,1.0,4374.1486929438
867,1.0,4384.862144022433
866,1.0,4395.481518745039
865,1.0,4406.008241975549
864,1.0,4416.4437070578015
863,1.0,4426.789276736154
862,1.0,4437.046284042741
861,1.0,4447.216033152828
860,1.0,4457.299800209589
859,1.0,4467.298834119661
858,1.0,4477.214357320674
857,1.0,4487.047566521939
856,1.0,4496.799633419426
